Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,100 GRANGER BLVD @ 20 FLORENCE ST,Marlborough,,,Marlborough PD,,07:12,,,09/07/2018,Call_Log_September_7_2018_to_September_10_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,74 GRANGER BLVD @ 26 AMES PL,Marlborough,,,Marlborough PD,,07:26,,,09/07/2018,Call_Log_September_7_2018_to_September_10_2018.pdf,1
,,Threats,,Report,Yes,,85 SAWIN ST,Marlborough,,,Marlborough PD,,08:42,,,09/07/2018,Call_Log_September_7_2018_to_September_10_2018.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:46,,,09/07/2018,Call_Log_September_7_2018_to_September_10_2018.pdf,1
,,Parking Violation,,Citation/Warning Issued,No,,209 MAIN ST,Marlborough,,,Marlborough PD,,09:16,,,09/07/2018,Call_Log_September_7_2018_to_September_10_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,688 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,10:22,,,09/07/2018,Call_Log_September_7_2018_to_September_10_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,701 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,10:25,,,09/07/2018,Call_Log_September_7_2018_to_September_10_2018.pdf,1
,,SUSPICIOUS ACTIVITY,,Report,Yes,,9 HIGH ST,Marlborough,,,Marlborough PD,,10:34,,,09/07/2018,Call_Log_September_7_2018_to_September_10_2018.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,509 LINCOLN ST,Marlborough,,,Marlborough PD,,10:50,,,09/07/2018,Call_Log_September_7_2018_to_September_10_2018.pdf,1
,,FOUND/LOST PROPERTY,,Services Rendered- PD,No,,35 WEST MAIN ST,Marlborough,,,Marlborough PD,,11:03,,,09/07/2018,Call_Log_September_7_2018_to_September_10_2018.pdf,1
,,Public Assist,,No Action Required,No,,AUTO SALES - 433 MAPLE ST,Marlborough,,,Marlborough PD,,11:21,,,09/07/2018,Call_Log_September_7_2018_to_September_10_2018.pdf,1
